name,description,category,price_pence
Tesco Red Lentils 500g,Tesco Red Lentils 500g is a smart store cupboard choice pantry line good for family meals with repeat buy reliability valued at £6.40,Groceries & Essentials,640
Sainsburys Pork Sausages 8 pack,Sainsburys Pork Sausages 8 pack is a solid family option fresh selection ideal for fresh snacking with steady everyday performance marked at £4.66,Fresh Food,466
Morrisons Bakery Blueberry Muffins 4 pack,Morrisons Bakery Blueberry Muffins 4 pack is a good kitchen performance bakery option well suited to grab and go bites with straightforward prep listed at £5.32,Bakery,532
Goodfellas Stonebaked Pepperoni Pizza 332g,Goodfellas Stonebaked Pepperoni Pizza 332g is a practical everyday use frozen choice a strong pick for quick comfort food with clear usage expectations running at £3.82,Frozen Food,382
Haribo Starmix 175g,Haribo Starmix 175g is a smart store cupboard choice snack item commonly used in movie nights with good value balance currently at £5.40,Treats & Snacks,540
Tommee Tippee Closer to Nature Bottles 2 pack,Tommee Tippee Closer to Nature Bottles 2 pack is a solid family option baby and toddler product built around travel kits with easy shelf or fridge placement offered at £17.56,Baby & Toddler,1756
Mitchum Advanced Control Deodorant 200ml,Mitchum Advanced Control Deodorant 200ml is a good kitchen performance personal care product a practical choice for travel wash bag with repeat buy reliability at £9.59,Health & Beauty,959
Purina Gourmet Gold Cat Food 8 pack,Purina Gourmet Gold Cat Food 8 pack is a practical everyday use pet care line especially handy for training sessions with steady everyday performance coming in at £13.93,Pets,1393
Ariel All in One Pods 24 pack,Ariel All in One Pods 24 pack is a smart store cupboard choice household cleaner or utility item often selected for routine housework with straightforward prep shown at £13.41,Household & Cleaning,1341
Barilla Penne Rigate 500g,Barilla Penne Rigate 500g is a balanced profile pantry line often selected for lunch prep with useful household fit listed at £6.47,Groceries & Essentials,647
M&S Broccoli Florets 300g,M&S Broccoli Florets 300g is a reliable format fresh selection reliable across lunchbox planning with a practical pack size running at £4.60,Fresh Food,460
Morrisons Bakery Blueberry Muffins 4 pack,Morrisons Bakery Blueberry Muffins 4 pack is a easy repeat buy bakery option easy to use in burger nights with dependable storage life currently at £4.61,Bakery,461
McCain Waffle Fries 650g,McCain Waffle Fries 650g is a steady value frozen choice designed for portion controlled prep with simple home handling offered at £6.72,Frozen Food,672
Walkers Cheese and Onion Crisps 6 pack,Walkers Cheese and Onion Crisps 6 pack is a balanced profile snack item good for sweet and savoury breaks with consistent in home results at £3.63,Treats & Snacks,363
Huggies Pure Baby Wipes 56 pack,Huggies Pure Baby Wipes 56 pack is a reliable format baby and toddler product ideal for nappy changes with familiar shopper confidence coming in at £4.63,Baby & Toddler,463
